"Region","Year","Age Range","Marijuana Use","Measure Type","Variable","Value"
"Southwest Region","2006-2008","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",3.19
"Southwest Region","2006-2008","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",1.89
"Southwest Region","2006-2008","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",6.08
"Southwest Region","2008-2010","12-17","First Use of Marijuana","Percent","Margins of Error",1.57
"Southwest Region","2008-2010","12-17","First Use of Marijuana","Percent","Marijuana Use",5.97
"Southwest Region","2008-2010","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",2.27
"Southwest Region","2008-2010","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",7.58
"Southwest Region","2008-2010","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",3.07
"Southwest Region","2008-2010","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",13.35
"Southwest Region","2008-2010","18-25","First Use of Marijuana","Percent","Margins of Error",2.48
"Southwest Region","2008-2010","18-25","First Use of Marijuana","Percent","Marijuana Use",7.75
"Southwest Region","2008-2010","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",4.47
"Southwest Region","2008-2010","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",18.74
"Southwest Region","2008-2010","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",-9999
"Southwest Region","2008-2010","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",-9999
"Southwest Region","2008-2010","Over 17","First Use of Marijuana","Percent","Margins of Error",0.31
"Southwest Region","2008-2010","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.1
"Southwest Region","2008-2010","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",1.6
"Southwest Region","2008-2010","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",5.69
"Southwest Region","2008-2010","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",2.14
"Southwest Region","2008-2010","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",9.38
"Southwest Region","2008-2010","Over 25","First Use of Marijuana","Percent","Margins of Error",-9999
"Southwest Region","2008-2010","Over 25","First Use of Marijuana","Percent","Marijuana Use",-9999
"Southwest Region","2008-2010","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",1.48
"Southwest Region","2008-2010","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",3.77
"Southwest Region","2008-2010","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",2.01
"Southwest Region","2008-2010","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",6.51
"Southwest Region","2010-2012","12-17","First Use of Marijuana","Percent","Margins of Error",1.67
"Southwest Region","2010-2012","12-17","First Use of Marijuana","Percent","Marijuana Use",6.31
"Southwest Region","2010-2012","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",2.3
"Southwest Region","2010-2012","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",8.34
"Southwest Region","2010-2012","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",3.23
"Southwest Region","2010-2012","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",14.94
"Southwest Region","2010-2012","18-25","First Use of Marijuana","Percent","Margins of Error",2.89
"Southwest Region","2010-2012","18-25","First Use of Marijuana","Percent","Marijuana Use",8.7
"Southwest Region","2010-2012","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",-9999
"Southwest Region","2010-2012","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",-9999
"Southwest Region","2010-2012","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",-9999
"Southwest Region","2010-2012","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",-9999
"Southwest Region","2010-2012","Over 17","First Use of Marijuana","Percent","Margins of Error",0.31
"Southwest Region","2010-2012","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.15
"Southwest Region","2010-2012","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",1.86
"Southwest Region","2010-2012","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",7.1
"Southwest Region","2010-2012","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",2.27
"Southwest Region","2010-2012","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",11.54
"Southwest Region","2010-2012","Over 25","First Use of Marijuana","Percent","Margins of Error",-9999
"Southwest Region","2010-2012","Over 25","First Use of Marijuana","Percent","Marijuana Use",-9999
"Southwest Region","2010-2012","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",1.73
"Southwest Region","2010-2012","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",5.18
"Southwest Region","2010-2012","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",2.15
"Southwest Region","2010-2012","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",8.1
"Southwest Region","2012-2014","12-17","First Use of Marijuana","Percent","Margins of Error",2.02
"Southwest Region","2012-2014","12-17","First Use of Marijuana","Percent","Marijuana Use",8.17
"Southwest Region","2012-2014","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",2.18
"Southwest Region","2012-2014","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",8.54
"Southwest Region","2012-2014","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",3.52
"Southwest Region","2012-2014","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",16.58
"Southwest Region","2012-2014","18-25","First Use of Marijuana","Percent","Margins of Error",3
"Southwest Region","2012-2014","18-25","First Use of Marijuana","Percent","Marijuana Use",10.16
"Southwest Region","2012-2014","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",4.72
"Southwest Region","2012-2014","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",23.11
"Southwest Region","2012-2014","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",5.33
"Southwest Region","2012-2014","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",38.11
"Southwest Region","2012-2014","Over 17","First Use of Marijuana","Percent","Margins of Error",0.35
"Southwest Region","2012-2014","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.46
"Southwest Region","2012-2014","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",2.22
"Southwest Region","2012-2014","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",8.97
"Southwest Region","2012-2014","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",2.57
"Southwest Region","2012-2014","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",13.68
"Southwest Region","2012-2014","Over 25","First Use of Marijuana","Percent","Margins of Error",-9999
"Southwest Region","2012-2014","Over 25","First Use of Marijuana","Percent","Marijuana Use",-9999
"Southwest Region","2012-2014","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",2.23
"Southwest Region","2012-2014","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",6.85
"Southwest Region","2012-2014","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",2.63
"Southwest Region","2012-2014","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",10.02
"Southwest Region","2014-2016","12-17","First Use of Marijuana","Percent","Margins of Error",1.65
"Southwest Region","2014-2016","12-17","First Use of Marijuana","Percent","Marijuana Use",6.02
"Southwest Region","2014-2016","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",2.12
"Southwest Region","2014-2016","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",7.47
"Southwest Region","2014-2016","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",3.14
"Southwest Region","2014-2016","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",14.85
"Southwest Region","2014-2016","18-25","First Use of Marijuana","Percent","Margins of Error",2.85
"Southwest Region","2014-2016","18-25","First Use of Marijuana","Percent","Marijuana Use",10.48
"Southwest Region","2014-2016","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",4.57
"Southwest Region","2014-2016","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",24.93
"Southwest Region","2014-2016","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",-9999
"Southwest Region","2014-2016","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",-9999
"Southwest Region","2014-2016","Over 17","First Use of Marijuana","Percent","Margins of Error",0.36
"Southwest Region","2014-2016","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.64
"Southwest Region","2014-2016","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",1.83
"Southwest Region","2014-2016","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",8.61
"Southwest Region","2014-2016","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",2.39
"Southwest Region","2014-2016","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",13.74
"Southwest Region","2014-2016","Over 25","First Use of Marijuana","Percent","Margins of Error",0.16
"Southwest Region","2014-2016","Over 25","First Use of Marijuana","Percent","Marijuana Use",0.49
"Southwest Region","2014-2016","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",1.75
"Southwest Region","2014-2016","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",6.08
"Southwest Region","2014-2016","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",2.31
"Southwest Region","2014-2016","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",9.62
"United States","2004-2006","12-17","First Use of Marijuana","Percent","Margins of Error",0
"United States","2004-2006","12-17","First Use of Marijuana","Percent","Marijuana Use",5.77
"United States","2004-2006","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",0
"United States","2004-2006","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",6.99
"United States","2004-2006","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",0
"United States","2004-2006","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",13.64
"United States","2004-2006","18-25","First Use of Marijuana","Percent","Margins of Error",0
"United States","2004-2006","18-25","First Use of Marijuana","Percent","Marijuana Use",6.09
"United States","2004-2006","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",0
"United States","2004-2006","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",16.2
"United States","2004-2006","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",0
"United States","2004-2006","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",27.79
"United States","2004-2006","Over 17","First Use of Marijuana","Percent","Margins of Error",0
"United States","2004-2006","Over 17","First Use of Marijuana","Percent","Marijuana Use",0.93
"United States","2004-2006","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",0
"United States","2004-2006","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",5.95
"United States","2004-2006","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",0
"United States","2004-2006","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",10.1
"United States","2004-2006","Over 25","First Use of Marijuana","Percent","Margins of Error",0
"United States","2004-2006","Over 25","First Use of Marijuana","Percent","Marijuana Use",0.15
"United States","2004-2006","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",0
"United States","2004-2006","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",4.15
"United States","2004-2006","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",0
"United States","2004-2006","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",7.01
"United States","2006-2008","12-17","First Use of Marijuana","Percent","Margins of Error",0.16
"United States","2006-2008","12-17","First Use of Marijuana","Percent","Marijuana Use",5.59
"United States","2006-2008","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",0.21
"United States","2006-2008","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",6.72
"United States","2006-2008","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",0.3
"United States","2006-2008","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",12.99
"United States","2006-2008","18-25","First Use of Marijuana","Percent","Margins of Error",0.24
"United States","2006-2008","18-25","First Use of Marijuana","Percent","Marijuana Use",6.41
"United States","2006-2008","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",0.36
"United States","2006-2008","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",16.42
"United States","2006-2008","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",0.46
"United States","2006-2008","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",27.73
"United States","2006-2008","Over 17","First Use of Marijuana","Percent","Margins of Error",0.04
"United States","2006-2008","Over 17","First Use of Marijuana","Percent","Marijuana Use",0.96
"United States","2006-2008","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",0.16
"United States","2006-2008","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",5.93
"United States","2006-2008","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",0.21
"United States","2006-2008","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",10.01
"United States","2006-2008","Over 25","First Use of Marijuana","Percent","Margins of Error",0.02
"United States","2006-2008","Over 25","First Use of Marijuana","Percent","Marijuana Use",0.12
"United States","2006-2008","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",0.16
"United States","2006-2008","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",4.12
"United States","2006-2008","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",0.21
"United States","2006-2008","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",6.95
"United States","2008-2010","12-17","First Use of Marijuana","Percent","Margins of Error",0.16
"United States","2008-2010","12-17","First Use of Marijuana","Percent","Marijuana Use",5.84
"United States","2008-2010","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",0.24
"United States","2008-2010","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",7.19
"United States","2008-2010","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",0.31
"United States","2008-2010","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",13.67
"United States","2008-2010","18-25","First Use of Marijuana","Percent","Margins of Error",0.24
"United States","2008-2010","18-25","First Use of Marijuana","Percent","Marijuana Use",7.02
"United States","2008-2010","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",0.37
"United States","2008-2010","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",17.71
"United States","2008-2010","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",0.47
"United States","2008-2010","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",29.42
"United States","2008-2010","Over 17","First Use of Marijuana","Percent","Margins of Error",0.04
"United States","2008-2010","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.09
"United States","2008-2010","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",0.17
"United States","2008-2010","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",6.52
"United States","2008-2010","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",0.23
"United States","2008-2010","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",10.86
"United States","2008-2010","Over 25","First Use of Marijuana","Percent","Margins of Error",0.03
"United States","2008-2010","Over 25","First Use of Marijuana","Percent","Marijuana Use",0.15
"United States","2008-2010","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",0.18
"United States","2008-2010","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",4.58
"United States","2008-2010","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",0.24
"United States","2008-2010","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",7.65
"United States","2010-2012","12-17","First Use of Marijuana","Percent","Margins of Error",0.16
"United States","2010-2012","12-17","First Use of Marijuana","Percent","Marijuana Use",5.97
"United States","2010-2012","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",0.23
"United States","2010-2012","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",7.48
"United States","2010-2012","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",0.3
"United States","2010-2012","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",13.91
"United States","2010-2012","18-25","First Use of Marijuana","Percent","Margins of Error",0.26
"United States","2010-2012","18-25","First Use of Marijuana","Percent","Marijuana Use",7.39
"United States","2010-2012","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",0.39
"United States","2010-2012","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",18.71
"United States","2010-2012","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",0.5
"United States","2010-2012","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",30.66
"United States","2010-2012","Over 17","First Use of Marijuana","Percent","Margins of Error",0.05
"United States","2010-2012","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.19
"United States","2010-2012","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",0.17
"United States","2010-2012","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",6.96
"United States","2010-2012","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",0.23
"United States","2010-2012","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",11.46
"United States","2010-2012","Over 25","First Use of Marijuana","Percent","Margins of Error",0.03
"United States","2010-2012","Over 25","First Use of Marijuana","Percent","Marijuana Use",0.19
"United States","2010-2012","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",0.18
"United States","2010-2012","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",4.92
"United States","2010-2012","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",0.24
"United States","2010-2012","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",8.13
"United States","2012-2014","12-17","First Use of Marijuana","Percent","Margins of Error",0.15
"United States","2012-2014","12-17","First Use of Marijuana","Percent","Marijuana Use",5.65
"United States","2012-2014","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",0.23
"United States","2012-2014","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",7.22
"United States","2012-2014","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",0.29
"United States","2012-2014","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",13.35
"United States","2012-2014","18-25","First Use of Marijuana","Percent","Margins of Error",0.26
"United States","2012-2014","18-25","First Use of Marijuana","Percent","Marijuana Use",7.65
"United States","2012-2014","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",0.39
"United States","2012-2014","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",19.13
"United States","2012-2014","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",0.49
"United States","2012-2014","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",31.68
"United States","2012-2014","Over 17","First Use of Marijuana","Percent","Margins of Error",0.05
"United States","2012-2014","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.26
"United States","2012-2014","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",0.17
"United States","2012-2014","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",7.78
"United States","2012-2014","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",0.22
"United States","2012-2014","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",12.57
"United States","2012-2014","Over 25","First Use of Marijuana","Percent","Margins of Error",0.03
"United States","2012-2014","Over 25","First Use of Marijuana","Percent","Marijuana Use",0.23
"United States","2012-2014","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",0.18
"United States","2012-2014","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",5.83
"United States","2012-2014","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",0.23
"United States","2012-2014","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",9.3
"United States","2014-2016","12-17","First Use of Marijuana","Percent","Margins of Error",0.16
"United States","2014-2016","12-17","First Use of Marijuana","Percent","Marijuana Use",5.31
"United States","2014-2016","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",0.23
"United States","2014-2016","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",6.95
"United States","2014-2016","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",0.31
"United States","2014-2016","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",12.56
"United States","2014-2016","18-25","First Use of Marijuana","Percent","Margins of Error",0.29
"United States","2014-2016","18-25","First Use of Marijuana","Percent","Marijuana Use",7.81
"United States","2014-2016","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",0.42
"United States","2014-2016","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",20.06
"United States","2014-2016","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",0.5
"United States","2014-2016","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",32.37
"United States","2014-2016","Over 17","First Use of Marijuana","Percent","Margins of Error",0.05
"United States","2014-2016","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.38
"United States","2014-2016","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",0.17
"United States","2014-2016","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",8.69
"United States","2014-2016","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",0.22
"United States","2014-2016","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",13.66
"United States","2014-2016","Over 25","First Use of Marijuana","Percent","Margins of Error",0.03
"United States","2014-2016","Over 25","First Use of Marijuana","Percent","Marijuana Use",0.35
"United States","2014-2016","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",0.17
"United States","2014-2016","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",6.78
"United States","2014-2016","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",0.22
"United States","2014-2016","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",10.52
